Year,Car Title,Car Model,Mileage,Fuel Type,Ownership,EMI Info,Current Price,Original Price,Location
2021,Renault Kiger,RXT AMT DUAL TONE,"43,390 km",Petrol,1st Owner,"12,725/m",6.51L,7.85L,"Singanallur, Coimbore"
2017,Jeep Compass,LONGITUDE 2.0 DIESEL,"1,17,741 km",Diesel,2nd Owner,"22,721/m",10.45L,7.85L,"Singanallur, Coimbore"
2020,Renault Kwid,RXT 1.0 AMT (O),"24,397 km",Petrol,2nd Owner,"8,891/m",4.55L,5.34L,"Singanallur, Coimbore"
2021,Mahindra XUV300,W8 (O) 1.2 PETROL AMT,"42,416 km",Petrol,1st Owner,"20,043/m",10.53L,11.17L,"Singanallur, Coimbore"
2022,Renault Kwid,CLIMBER MT 1.0,"9,383 km",Petrol,1st Owner,"10,853/m",5.55L,5.71L,"Singanallur, Coimbore"
2022,Mahindra XUV300,W8 (O) 1.2 PETROL,"14,084 km",Petrol,1st Owner,"22,346/m",11.74L,12.82L,"Singanallur, Coimbore"
2022,Renault TRIBER,RXT AMT,"19,992 km",Petrol,2nd Owner,"13,870/m",7.09L,8.03L,"Singanallur, Coimbore"
2021,Renault TRIBER,RXZ,"19,318 km",Petrol,1st Owner,"12,962/m",6.63L,7.64L,"Singanallur, Coimbore"
2020,Renault Kwid,RXT 1.0 AMT (O),"23,970 km",Petrol,1st Owner,"9,086/m",4.65L,5.50L,"Singanallur, Coimbore"
2022,Renault Kwid,RXT 1.0,"3,686 km",Petrol,1st Owner,"9,892/m",5.06L,5.63L,"Singanallur, Coimbore"
2019,Mahindra KUV 100 NXT,K2+ P 6 STR,"23,440 km",Petrol,1st Owner,"9,208/m",4.71L,5.63L,"Singanallur, Coimbore"
2019,Renault TRIBER,RXZ,"67,965 km",Petrol,1st Owner,"11,965/m",6.12L,5.63L,"Singanallur, Coimbore"
2021,Renault TRIBER,RXZ,"27,357 km",Petrol,2nd Owner,"13,233/m",6.77L,5.63L,"Singanallur, Coimbore"
2017,Renault Kwid,RXT 1.0,"64,691 km",Petrol,2nd Owner,"6,537/m",3.34L,5.63L,"Singanallur, Coimbore"
2019,Renault TRIBER,RXL MT,"42,093 km",Petrol,2nd Owner,"11,010/m",5.63L,5.63L,"Singanallur, Coimbore"
2021,Renault TRIBER,RXT,"39,834 km",Petrol,1st Owner,"11,632/m",5.95L,6.71L,"Singanallur, Coimbore"
2021,Renault Duster,RXZ 1.3 TURBO PETROL MT,"56,328 km",Petrol,1st Owner,"16,754/m",8.80L,11.45L,"Singanallur, Coimbore"
2022,Renault TRIBER,RXT,"12,816 km",Petrol,1st Owner,"14,209/m",7.27L,7.28L,"Singanallur, Coimbore"
2017,Jeep Compass,LIMITED 2.0 DIESEL,"81,512 km",Diesel,1st Owner,"21,604/m",11.35L,12.44L,"Kakkanad, Kochi"
2016,Renault Kwid,RXT 1.0 AMT (O),"96,619 km",Petrol,1st Owner,"6,100/m",3.12L,12.44L,"Kakkanad, Kochi"
2020,Mahindra XUV300,W8 (O) 1.2 PETROL,"56,356 km",Petrol,1st Owner,"17,654/m",9.28L,10.51L,"Kakkanad, Kochi"
2021,Jeep Compass,LIMITED PLUS DIESEL,"1,01,721 km",Diesel,1st Owner,"35,832/m",16.48L,20.44L,"Kakkanad, Kochi"
2021,Renault Kwid,RXT 1.0 (O),"8,608 km",Petrol,1st Owner,"8,274/m",4.23L,4.86L,"Kakkanad, Kochi"
2020,Renault TRIBER,RXT AMT,"44,098 km",Petrol,1st Owner,"11,593/m",5.93L,6.61L,"Kakkanad, Kochi"
2020,Renault TRIBER,RXZ AMT,"65,378 km",Petrol,1st Owner,"12,238/m",6.26L,6.93L,"Kakkanad, Kochi"
2016,Renault Kwid,RXL,"39,327 km",Petrol,2nd Owner,"5,172/m",2.65L,6.93L,"Kakkanad, Kochi"
